participant_id	cvlt-long_corr	cvlt-long_incorr	cvlt-long_RT
sub-pp004	1.0	0.0	1118.0
sub-pp004	0.0	1.0	1337.0
sub-pp004	1.0	0.0	1506.0
sub-pp004	1.0	0.0	1194.0
sub-pp004	1.0	0.0	1777.0
sub-pp004	1.0	0.0	1139.0
sub-pp004	1.0	0.0	1531.0
sub-pp004	1.0	0.0	1986.0
sub-pp004	0.0	1.0	1451.0
sub-pp004	0.0	1.0	1107.0
sub-pp004	0.0	1.0	1250.0
sub-pp004	1.0	0.0	962.0
sub-pp004	1.0	0.0	1068.0
sub-pp004	1.0	0.0	1202.0
sub-pp004	1.0	0.0	1418.0
sub-pp004	1.0	0.0	1111.0
sub-pp004	0.0	1.0	1074.0
sub-pp004	1.0	0.0	1106.0
sub-pp004	0.0	1.0	1425.0
sub-pp004	0.0	1.0	1569.0
sub-pp004	1.0	0.0	1226.0
sub-pp004	1.0	0.0	1027.0
sub-pp004	1.0	0.0	1602.0
sub-pp004	1.0	0.0	1211.0
sub-pp004	1.0	0.0	1528.0
sub-pp004	1.0	0.0	995.0
sub-pp004	1.0	0.0	1099.0
sub-pp004	0.0	1.0	1387.0
sub-pp004	1.0	0.0	1266.0
sub-pp004	1.0	0.0	1267.0
sub-pp004	1.0	0.0	1195.0
sub-pp004	1.0	0.0	1004.0
sub-pp004	1.0	0.0	1276.0
sub-pp004	1.0	0.0	1531.0
sub-pp004	1.0	0.0	1643.0
sub-pp004	1.0	0.0	1066.0
sub-pp004	1.0	0.0	1154.0
sub-pp004	1.0	0.0	1132.0
sub-pp004	0.0	1.0	970.0
sub-pp004	1.0	0.0	1370.0
sub-pp004	1.0	0.0	1164.0
sub-pp004	0.0	1.0	1348.0
sub-pp004	1.0	0.0	1106.0
sub-pp004	1.0	0.0	1043.0
