participant_id	rtt-sub_corr	rtt-sub_incorr	rtt-sub_RT
sub-pp009	1.0	0.0	1590.5
sub-pp009	1.0	0.0	2080.100000000093
sub-pp009	1.0	0.0	1528.8999999999069
sub-pp009	1.0	0.0	1921.2999999998133
sub-pp009	1.0	0.0	1655.8999999999069
sub-pp009	0.0	1.0	1935.8999999999069
sub-pp009	1.0	0.0	1752.2000000001865
sub-pp009	1.0	0.0	2254.8000000002794
sub-pp009	1.0	0.0	4867.9000000003725
sub-pp009	1.0	0.0	2218.7999999998137
sub-pp009	1.0	0.0	2461.2999999998137
sub-pp009	1.0	0.0	1559.7999999998135
sub-pp009	1.0	0.0	1741.2999999998135
sub-pp009	1.0	0.0	2693.1999999997206
sub-pp009	1.0	0.0	1584.0
sub-pp009	1.0	0.0	1920.80000000028
sub-pp009	1.0	0.0	10994.200000000186
sub-pp009	1.0	0.0	2061.100000000093
sub-pp009	0.0	1.0	12899.96
