participant_id	rtt-sub_corr	rtt-sub_incorr	rtt-sub_RT
sub-pp006	1.0	0.0	1319.5
sub-pp006	1.0	0.0	2257.5
sub-pp006	1.0	0.0	1393.2999999998135
sub-pp006	1.0	0.0	1333.0
sub-pp006	1.0	0.0	1432.5
sub-pp006	1.0	0.0	1187.3000000002794
sub-pp006	1.0	0.0	1307.3999999999069
sub-pp006	1.0	0.0	3189.2000000001863
sub-pp006	1.0	0.0	2277.7000000001863
sub-pp006	1.0	0.0	1773.0
sub-pp006	1.0	0.0	1686.7000000001865
sub-pp006	1.0	0.0	1842.7999999998133
sub-pp006	1.0	0.0	1986.0
sub-pp006	1.0	0.0	1398.0
sub-pp006	1.0	0.0	1766.6000000000931
sub-pp006	1.0	0.0	2151.600000000093
sub-pp006	0.0	1.0	4286.700000000186
sub-pp006	1.0	0.0	1580.8999999999069
sub-pp006	1.0	0.0	3059.0
sub-pp006	1.0	0.0	2216.600000000093
sub-pp006	1.0	0.0	2104.5999999996275
sub-pp006	1.0	0.0	2157.7999999998137
sub-pp006	1.0	0.0	4584.599999999628
sub-pp006	1.0	0.0	2205.0
sub-pp006	1.0	0.0	2389.399999999907
sub-pp006	1.0	0.0	2583.5
sub-pp006	1.0	0.0	2214.5
sub-pp006	1.0	0.0	1733.2429999999877
