participant_id	cvlt-long_corr	cvlt-long_incorr	cvlt-long_RT
sub-pp008	1.0	0.0	1351.0
sub-pp008	1.0	0.0	1647.0
sub-pp008	1.0	0.0	1761.0
sub-pp008	1.0	0.0	1217.0
sub-pp008	1.0	0.0	1217.0
sub-pp008	1.0	0.0	1538.0
sub-pp008	1.0	0.0	1386.0
sub-pp008	1.0	0.0	1331.0
sub-pp008	1.0	0.0	1018.0
sub-pp008	1.0	0.0	1187.0
sub-pp008	1.0	0.0	1306.0
sub-pp008	1.0	0.0	1220.0
sub-pp008	1.0	0.0	1307.0
sub-pp008	1.0	0.0	1267.0
sub-pp008	1.0	0.0	1196.0
sub-pp008	1.0	0.0	1098.0
sub-pp008	1.0	0.0	1212.0
sub-pp008	1.0	0.0	1274.0
sub-pp008	0.0	1.0	1435.0
sub-pp008	1.0	0.0	1195.0
sub-pp008	1.0	0.0	1322.0
sub-pp008	1.0	0.0	1107.0
sub-pp008	1.0	0.0	1378.0
sub-pp008	1.0	0.0	1202.0
sub-pp008	1.0	0.0	2338.0
sub-pp008	1.0	0.0	1123.0
sub-pp008	1.0	0.0	1196.0
sub-pp008	1.0	0.0	1067.0
sub-pp008	1.0	0.0	1610.0
sub-pp008	1.0	0.0	1165.0
sub-pp008	1.0	0.0	1762.0
sub-pp008	1.0	0.0	1027.0
sub-pp008	1.0	0.0	1546.0
sub-pp008	1.0	0.0	1124.0
sub-pp008	1.0	0.0	1019.0
sub-pp008	1.0	0.0	1143.0
sub-pp008	1.0	0.0	1409.0
sub-pp008	1.0	0.0	1361.0
sub-pp008	1.0	0.0	1561.0
sub-pp008	1.0	0.0	2322.0
sub-pp008	1.0	0.0	3880.0
sub-pp008	1.0	0.0	1817.0
sub-pp008	1.0	0.0	1914.0
sub-pp008	1.0	0.0	1324.0
