participant_id	rtt-sub_corr	rtt-sub_incorr	rtt-sub_RT
sub-pp008	1.0	0.0	1178.7999999523165
sub-pp008	1.0	0.0	1583.5
sub-pp008	1.0	0.0	1243.2000000476835
sub-pp008	1.0	0.0	1500.2999999523165
sub-pp008	1.0	0.0	1186.0
sub-pp008	1.0	0.0	2856.600000143051
sub-pp008	1.0	0.0	1273.8000001907349
sub-pp008	1.0	0.0	1350.9000000953674
sub-pp008	1.0	0.0	2174.0
sub-pp008	1.0	0.0	1457.1999998092651
sub-pp008	1.0	0.0	1403.5
sub-pp008	1.0	0.0	1554.5999999046326
sub-pp008	1.0	0.0	2241.200000047684
sub-pp008	1.0	0.0	2001.400000095368
sub-pp008	1.0	0.0	1322.3999998569489
sub-pp008	1.0	0.0	1927.5999999046328
sub-pp008	1.0	0.0	2376.100000143051
sub-pp008	1.0	0.0	1939.200000047684
sub-pp008	1.0	0.0	3851.5
sub-pp008	1.0	0.0	3603.5
sub-pp008	1.0	0.0	4546.099999904633
sub-pp008	1.0	0.0	1540.2000000476835
sub-pp008	1.0	0.0	2913.699999809265
sub-pp008	1.0	0.0	1631.0
sub-pp008	1.0	0.0	1901.0999999046328
sub-pp008	0.0	1.0	2867.0
sub-pp008	1.0	0.0	3776.299999952316
