participant_id	rtt-sub_corr	rtt-sub_incorr	rtt-sub_RT
sub-pp005	1.0	0.0	1474.0
sub-pp005	1.0	0.0	3174.0
sub-pp005	1.0	0.0	1709.0
sub-pp005	1.0	0.0	1332.0
sub-pp005	1.0	0.0	2309.0
sub-pp005	1.0	0.0	2535.0
sub-pp005	1.0	0.0	1734.0
sub-pp005	1.0	0.0	2389.0
sub-pp005	1.0	0.0	1862.0
sub-pp005	0.0	1.0	1991.0
sub-pp005	1.0	0.0	3086.0
sub-pp005	1.0	0.0	2043.0
sub-pp005	1.0	0.0	1950.0
sub-pp005	1.0	0.0	2258.0
sub-pp005	1.0	0.0	3527.0
sub-pp005	1.0	0.0	1971.0
sub-pp005	1.0	0.0	5851.0
sub-pp005	1.0	0.0	2649.0
sub-pp005	1.0	0.0	3582.0
sub-pp005	1.0	0.0	7874.0
sub-pp005	1.0	0.0	3111.0
