participant_id	rtt-sub_corr	rtt-sub_incorr	rtt-sub_RT
sub-pp010	1.0	0.0	1560.0
sub-pp010	1.0	0.0	3001.0
sub-pp010	1.0	0.0	2029.0
sub-pp010	1.0	0.0	1746.0
sub-pp010	1.0	0.0	1515.0
sub-pp010	1.0	0.0	1490.0
sub-pp010	1.0	0.0	1648.0
sub-pp010	1.0	0.0	1630.0
sub-pp010	1.0	0.0	1521.0
sub-pp010	1.0	0.0	1343.0
sub-pp010	1.0	0.0	1308.0
sub-pp010	1.0	0.0	1639.0
sub-pp010	1.0	0.0	1255.0
sub-pp010	1.0	0.0	1280.0
sub-pp010	1.0	0.0	1331.0
sub-pp010	1.0	0.0	2038.0
sub-pp010	1.0	0.0	3906.0
sub-pp010	1.0	0.0	2199.0
sub-pp010	1.0	0.0	7765.0
sub-pp010	1.0	0.0	2727.0
sub-pp010	1.0	0.0	2593.0
sub-pp010	1.0	0.0	2104.0
sub-pp010	1.0	0.0	2461.0
sub-pp010	1.0	0.0	2752.0
sub-pp010	1.0	0.0	2170.0
sub-pp010	1.0	0.0	2191.0
