participant_id	cvlt-long_corr	cvlt-long_incorr	cvlt-long_RT
sub-pp010	1.0	0.0	1647.0
sub-pp010	1.0	0.0	1648.0
sub-pp010	1.0	0.0	1410.0
sub-pp010	1.0	0.0	1210.0
sub-pp010	1.0	0.0	1169.0
sub-pp010	1.0	0.0	1091.0
sub-pp010	1.0	0.0	1249.0
sub-pp010	1.0	0.0	1249.0
sub-pp010	0.0	1.0	4587.0
sub-pp010	1.0	0.0	3250.0
sub-pp010	1.0	0.0	1505.0
sub-pp010	1.0	0.0	1330.0
sub-pp010	1.0	0.0	1219.0
sub-pp010	1.0	0.0	1804.0
sub-pp010	1.0	0.0	1307.0
sub-pp010	1.0	0.0	1250.0
sub-pp010	1.0	0.0	1155.0
sub-pp010	1.0	0.0	1251.0
sub-pp010	0.0	1.0	1499.0
sub-pp010	1.0	0.0	1195.0
sub-pp010	1.0	0.0	1290.0
sub-pp010	1.0	0.0	1187.0
sub-pp010	1.0	0.0	1132.0
sub-pp010	1.0	0.0	1283.0
sub-pp010	1.0	0.0	1211.0
sub-pp010	1.0	0.0	1435.0
sub-pp010	1.0	0.0	1346.0
sub-pp010	1.0	0.0	1131.0
sub-pp010	1.0	0.0	1100.0
sub-pp010	1.0	0.0	1139.0
sub-pp010	1.0	0.0	1116.0
sub-pp010	1.0	0.0	1042.0
sub-pp010	1.0	0.0	1219.0
sub-pp010	1.0	0.0	1131.0
sub-pp010	1.0	0.0	1228.0
sub-pp010	1.0	0.0	1131.0
sub-pp010	1.0	0.0	1372.0
sub-pp010	1.0	0.0	1427.0
sub-pp010	1.0	0.0	1492.0
sub-pp010	1.0	0.0	1508.0
sub-pp010	1.0	0.0	1483.0
sub-pp010	1.0	0.0	2922.0
sub-pp010	1.0	0.0	1211.0
sub-pp010	1.0	0.0	1164.0
